&d hh m             cotR11
&X XX X         XXXXXXXXXX
28  0 0             102.23
28  0 1             102.25
28  1 0             102.26
28  1 1             102.34
28  2 0             102.41
28  2 1             102.45
28  3 0             102.50
28  3 1             102.53
28  4 0             102.55
28  4 1             102.57
28  5 0             102.58
28  5 1             102.58
28  6 0             102.57
28  6 1             102.55
28  7 0             102.52
28  7 1             102.50
28  8 0             102.48
28  8 1             102.49
28  9 0             102.51
28  9 1             102.55
28 10 0             102.58
28 10 1             102.61
28 11 0             102.64
28 11 1             102.67
28 12 0             102.69
28 12 1             102.72
28 13 0             102.75
28 13 1             102.80
28 14 0             102.86
28 14 1             102.92
28 15 0             103.02
28 15 1             103.03
28 16 0             103.03
28 16 1             103.02
28 17 0             103.01
28 17 1             103.01
28 18 0             103.01
28 18 1             103.03
28 19 0             103.07
28 19 1             103.09
28 20 0             103.11
28 20 1             103.15
28 21 0             103.20
28 21 1             103.23
28 22 0             103.22
28 22 1             103.22
28 23 0             103.20
28 23 1             103.16
