NUMERO DE USINAS
XXX
164
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 185 131 133 125 180 181 182 147 146 107 108 109 117 118 119 32  11  135 139 262 88  89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  29  11  2023
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
5 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    29      F                  67
  1 CAMARGOS       1    30      F                  82
  1 CAMARGOS       1    01      F                  85
  2 ITUTINGA       1    29      F                   0
  4 FUNIL-GRANDE   1    29      F                 111
  4 FUNIL-GRANDE   1    30      F                 124
  4 FUNIL-GRANDE   1    01      F                 126
 24 EMBORCACAO     1    29      F                  42
 24 EMBORCACAO     1    30      F                  52
 24 EMBORCACAO     1    01      F                  79
 27 CAPIM BRANC1   1    29      F                   1
 28 CAPIM BRANC2   1    29      F                   2
 25 NOVA PONTE     1    29      F                 179
 25 NOVA PONTE     1    30      F                 272
 25 NOVA PONTE     1    01      F                 364
 33 SAO SIMAO      1    29      F                1161
 33 SAO SIMAO      1    30      F                1233
 33 SAO SIMAO      1    01      F                1193
156 TRES MARIAS    1    29      F                 205
156 TRES MARIAS    1    30      F                 260
156 TRES MARIAS    1    01      F                 357
134 SALTO GRANDE   1    29      F                  79
134 SALTO GRANDE   1    30      F                  92
134 SALTO GRANDE   1    01      F                  96
 10 IGARAPAVA      1    29      F                  21
 10 IGARAPAVA      1    30      F                  26
 10 IGARAPAVA      1    01      F                  28
143 AIMORES        1    29      F                  35
143 AIMORES        1    30      F                  34
162 QUEIMADO       1    29      F                   7
148 IRAPE          1    29      F                  10
148 IRAPE          1    30      F                  18
148 IRAPE          1    01      F                  36
217 ROSAL          1    29      F                  25
217 ROSAL          1    30      F                  28
217 ROSAL          1    01      F                  31
193 SA CARVALHO    1    29      F                   1
193 SA CARVALHO    1    01      F                   2
141 BAGUARI        1    29      F                  81
141 BAGUARI        1    30      F                  78
141 BAGUARI        1    01      F                  80
 14 CACONDE        1    29      F                  61
 14 CACONDE        1    30      F                  93
 14 CACONDE        1    01      F                  97
 18 A. VERMELHA    1    29      F                 169
 18 A. VERMELHA    1    30      F                 201
 18 A. VERMELHA    1    01      F                 240
 37 BARRA BONITA   1    29      F                 276
 37 BARRA BONITA   1    30      F                 426
 37 BARRA BONITA   1    01      F                 525
 40 PROMISSAO      1    29      F                 145
 40 PROMISSAO      1    30      F                 141
 40 PROMISSAO      1    01      F                 112
 42 NAVANHANDAVA   1    29      F                  57
 42 NAVANHANDAVA   1    30      F                  56
 42 NAVANHANDAVA   1    01      F                  44
 15 E. DA CUNHA    1    29      F                  39
 15 E. DA CUNHA    1    30      F                  59
 15 E. DA CUNHA    1    01      F                  62
 16 A.S.OLIVEIRA   1    29      F                   1
 38 A.S. LIMA      1    29      F                  81
 38 A.S. LIMA      1    30      F                  86
 38 A.S. LIMA      1    01      F                  82
