&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    28 00 0  F                  78
DEFANT     4    6  H    28 00 0  F                 130
DEFANT     6    7  H    28 00 0  F                 776
DEFANT     7    8  H    28 00 0  F                1023
DEFANT     8    9  H    28 00 0  F                1088
DEFANT     9   10  H    28 00 0  F                1044
DEFANT    10   11  H    28 00 0  F                1091
DEFANT    11   12  H    28 00 0  F                1138
DEFANT    12   17  H    28 00 0  F                1014
DEFANT    14   15  H    28 00 0  F                  39
DEFANT    15   16  H    28 00 0  F                  57
DEFANT    16   17  H    26 00 0  F                  47
DEFANT    16   17  H    27 00 0  F                  46
DEFANT    16   17  H    28 00 0  F                  64
DEFANT    17   18  H    28 00 0  F                 973
DEFANT    18   34  H    28 00 0  F                1485
DEFANT    20   21  H    28 00 0  F                  76
DEFANT    21   24  H    28 00 0  F                 168
DEFANT    24   31  H    28 00 0  F                 338
DEFANT    25   26  H    28 00 0  F                 425
DEFANT    26   27  H    28 00 0  F                 270
DEFANT    27   28  H    28 00 0  F                 190
DEFANT    28   31  H    28 00 0  F                 181
DEFANT    29  203  H    28 00 0  F                 112
DEFANT    30   31  H    28 00 0  F                 333
DEFANT    31   32  H    28 00 0  F                1266
DEFANT    32   33  H    28 00 0  F                1035
DEFANT    33   34  H    28 00 0  F                1731
DEFANT    34   45  H    28 00 0  F                4422
DEFANT    37   38  H    28 00 0  F                 394
DEFANT    38   39  H    28 00 0  F                 469
DEFANT    39   40  H    28 00 0  F                 562
DEFANT    40   42  H    28 00 0  F                 792
DEFANT    42   43  H    28 00 0  F                 839
DEFANT    43   45  H    28 00 0  F                 927
DEFANT    45   46  H    28 00 0  F                5344
DEFANT    46   66  H    27 00 0  F                6393
DEFANT    46   66  H    28 00 0  F                5816
DEFANT    47   48  H    28 00 0  F                 161
DEFANT    48   49  H    28 00 0  F                 162
DEFANT    49  249  H    28 00 0  F                 481
DEFANT    50   51  H    28 00 0  F                 588
DEFANT    51   52  H    28 00 0  F                 707
DEFANT    52   61  H    28 00 0  F                 687
DEFANT    57   61  H    28 00 0  F                 581
DEFANT    61   62  H    28 00 0  F                1750
DEFANT    62   63  H    28 00 0  F                1692
DEFANT    63   66  H    27 00 0  F                1620
DEFANT    63   66  H    28 00 0  F                2246
DEFANT    71   72  H    28 00 0  F                 180
DEFANT    72   73  H    28 00 0  F                 164
DEFANT    73   77  H    28 00 0  F                  79
DEFANT    74   76  H    28 00 0  F                 455
DEFANT    76   77  H    28 00 0  F                 885
DEFANT    77   78  H    28 00 0  F                1362
DEFANT    78   82  H    28 00 0  F                1694
DEFANT    82   83  H    28 00 0  F                2261
DEFANT    86   91  H    28 00 0  F                 911
DEFANT    88   89  H    28 00 0  F                1549
DEFANT    89   90  H    28 00 0  F                2056
DEFANT    90   91  H    28 00 0  F                2344
DEFANT    91   92  H    28 00 0  F                2228
DEFANT    92  103  H    28 00 0  F                2484
DEFANT    93   94  H    28 00 0  F                 200
DEFANT    94  103  H    28 00 0  F                 431
DEFANT    97   98  H    28 00 0  F                 206
DEFANT    98   99  H    28 00 0  F                 472
DEFANT   101  102  H    28 00 0  F                 776
DEFANT   107   37  H    27 00 0  F                 157
DEFANT   110  111  H    28 00 0  F                 618
DEFANT   111  112  H    28 00 0  F                1041
DEFANT   112  113  H    28 00 0  F                1002
DEFANT   113  114  H    28 00 0  F                1154
DEFANT   120  123  H    26 00 0  F                  10
DEFANT   120  123  H    28 00 0  F                  12
DEFANT   121  122  H    28 00 0  F                  26
DEFANT   122  123  H    25 00 0  F                  39
DEFANT   122  123  H    26 00 0  F                  35
DEFANT   122  123  H    27 00 0  F                  33
DEFANT   122  123  H    28 00 0  F                  43
DEFANT   123  125  H    28 00 0  F                 158
DEFANT   125  129  H    27 00 0  F                  74
DEFANT   125  129  H    28 00 0  F                 110
DEFANT   126  127  H    28 00 0  F                  20
DEFANT   127  129  H    28 00 0  F                  35
DEFANT   129  130  H    28 00 0  F                 126
DEFANT   134  135  H    28 00 0  F                  78
DEFANT   135  141  H    28 00 0  F                  66
DEFANT   139  141  H    27 00 0  F                  71
DEFANT   139  141  H    28 00 0  F                  65
DEFANT   141  143  H    28 00 0  F                 250
DEFANT   143  144  H    28 00 0  F                 336
DEFANT   148  154  H    24 00 0  F                 170
DEFANT   148  154  H    25 00 0  F                 148
DEFANT   148  154  H    26 00 0  F                  75
DEFANT   148  154  H    27 00 0  F                 167
DEFANT   148  154  H    28 00 0  F                 162
DEFANT   153   46  H    28 00 0  F                 111
DEFANT   155  156  H    28 00 0  F                  28
DEFANT   156  169  H    14 00 0  F                 484
DEFANT   156  169  H    15 00 0  F                 489
DEFANT   156  169  H    16 00 0  F                 479
DEFANT   156  169  H    17 00 0  F                 485
DEFANT   156  169  H    18 00 0  F                 486
DEFANT   156  169  H    19 00 0  F                 494
DEFANT   156  169  H    20 00 0  F                 496
DEFANT   156  169  H    21 00 0  F                 507
DEFANT   156  169  H    22 00 0  F                 458
DEFANT   156  169  H    23 00 0  F                 501
DEFANT   156  169  H    24 00 0  F                 508
DEFANT   156  169  H    25 00 0  F                 528
DEFANT   156  169  H    26 00 0  F                 516
DEFANT   156  169  H    27 00 0  F                 511
DEFANT   156  169  H    28 00 0  F                 500
DEFANT   162  169  H    14 00 0  F                  49
DEFANT   162  169  H    15 00 0  F                  42
DEFANT   162  169  H    17 00 0  F                  43
DEFANT   162  169  H    18 00 0  F                  29
