& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    0        0.000    768  1  0  0          0.
  4  ST.CRUZ 34     3    0        0.000   3960  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000   3960  0  0  0          0.
 12  CUIABA G CC    1    0        0.000  20064  1  0  0          0.
 12  CUIABA G CC    2    0        0.000  20568  0  0  0          0.
 12  CUIABA G CC    3    0        0.000  13032  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    288  0  0  2       1350.
 15  LINHARES       1    0        0.000   5498  0  0  0          0.
 15  LINHARES       2    0        0.000   5523  1  0  0          0.
 15  LINHARES       3    0        0.000   5520  0  0  0          0.
 15  LINHARES       4    0        0.000   5542  1  0  0          0.
 21  MARANHAO V     1    0        0.000    119  1  0  0          0.
 24  J.LACERDA C    7    1      300.000   1080  0  0  2        300.
 25  J.LACERDA B    5    1      110.000    648  0  0  2        110.
 25  J.LACERDA B    6    0        0.000  13463  0  0  0        110.
 26  J.LACERDA A1   1    0        0.000  18719  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000  18805  1  0  0          0.
 27  J.LACERDA A2   3    1       55.000   1152  0  0  2         55.
 27  J.LACERDA A2   4    0        0.000     50  0  0  0         55.
 28  FIGUEIRA       1    0        0.000   1008  0  0  0          0.
 35  URUGUAIANA     1    0        0.000   3960  0  0  0          0.
 35  URUGUAIANA     2    0        0.000   3960  0  0  0          0.
 35  URUGUAIANA     3    0        0.000   3960  0  0  0          0.
 36  MARANHAO IV    1    0        0.000    119  1  0  0          0.
 42  FORTALEZA      1    0        0.000     85  0  0  0          0.
 42  FORTALEZA      2    0        0.000   2448  0  0  0          0.
 42  FORTALEZA      3    0        0.000    342  1  0  0          0.
 43  TERMOBAHIA     1    0        0.000     37  1  0  0          0.
 46  N.VENECIA 2    1    0        0.000    120  0  0  0          0.
&Ajuste conforme valores programados e operacao em Tempo Real
 47  TERMORIO       1    0        0.000  15456  0  0  0          0.
 47  TERMORIO       2    0        0.000  16142  1  0  0          0.
 47  TERMORIO       3    0        0.000  21480  0  0  0          0.
 47  TERMORIO       4    0        0.000  20602  0  0  0          0.
 47  TERMORIO       5    0        0.000   1704  0  0  0          0.
 47  TERMORIO       6    0        0.000    336  0  0  0          0.
 47  TERMORIO       7    0        0.000  19830  1  0  0          0.
 47  TERMORIO       8    0        0.000  19008  0  0  0          0.
 47  TERMORIO       9    0        0.000  19728  0  0  0          0.
 47  TERMORIO      10    0        0.000   1704  0  0  0          0.
 47  TERMORIO      11    0        0.000  19104  1  0  0          0.
 47  TERMORIO      12    0        0.000   9456  0  0  0          0.
 47  TERMORIO      13    0        0.000  19728  0  0  0          0.
 47  TERMORIO      14    0        0.000  19464  0  0  0          0.
 47  TERMORIO      15    0        0.000  10126  0  0  0          0.
 47  TERMORIO      16    0        0.000  18744  0  0  0          0.
 47  TERMORIO      17    1      158.000     96  0  0  4          0.
 47  TERMORIO      18    0        0.000  14856  0  0  0          0.
 47  TERMORIO      19    0        0.000  12936  1  0  0          0.
 47  TERMORIO      20    0        0.000  15046  1  0  0          0.
 47  TERMORIO      21    0        0.000    336  0  0  0          0.
 47  TERMORIO      22    0        0.000  24545  1  0  0          0.
 47  TERMORIO      23    0        0.000  31440  1  0  0          0.
 47  TERMORIO      24    0        0.000   1704  0  0  0          0.
 47  TERMORIO      25    0        0.000   1704  0  0  0          0.
 47  TERMORIO      26    0        0.000   1704  0  0  0          0.
 47  TERMORIO      27    0        0.000  19224  0  0  0          0.
 47  TERMORIO      28    0        0.000   1704  0  0  0          0.
 47  TERMORIO      29    0        0.000   1704  0  0  0          0.
 47  TERMORIO      30    0        0.000   1704  0  0  0          0.
 47  TERMORIO      31    0        0.000     98  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  32134  1  0  0          0.
 48  ARAUCARIA      2    0        0.000  19408  1  0  0          0.
 48  ARAUCARIA      3    0        0.000  20306  1  0  0          0.
 49  VIANA          3    0        0.000  17856  1  0  0          0.
 49  VIANA          4    0        0.000  17855  0  0  0          0.
 49  VIANA          1    0        0.000  19361  0  0  0          0.
 49  VIANA          2    0        0.000    240  0  0  0          0.
 50  PIRAT.12 G     1    0        0.000   3960  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000   3960  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000    240  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000    240  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000    240  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000    240  0  0  0          0.
 53  GLOBAL I       1    0        0.000  20755  0  0  0          0.
 53  GLOBAL I       2    0        0.000  20790  0  0  0          0.
