***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / subsistema / hora

------;-------;------;-----------;-----------;
 IPER ;  Pat  ; SIST ;   Cmarg   ;PI_Demanda ;
------;-------;------;-----------;-----------;
    1 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    1 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    1 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    1 ;  LEVE ; N    ;      0.01 ;      0.00 ;
    1 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    2 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    2 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    2 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    2 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    2 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    3 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    3 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    3 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    3 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    3 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    4 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    4 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    4 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    4 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    4 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    5 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    5 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    5 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    5 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    5 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    6 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    6 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    6 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    6 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    6 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    7 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    7 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    7 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    7 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    7 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    8 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    8 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    8 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    8 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    8 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
    9 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
    9 ;  LEVE ; S    ;      0.00 ;      0.00 ;
    9 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
    9 ;  LEVE ; N    ;      0.00 ;      0.00 ;
    9 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   10 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   10 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   10 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   10 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   10 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   11 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   11 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   11 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   11 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   11 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   12 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   12 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   12 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   12 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   12 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   13 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   13 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   13 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   13 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   13 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   14 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   14 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   14 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   14 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   14 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   15 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   15 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   15 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   15 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   15 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   16 ;  LEVE ; SE   ;      0.00 ;      0.00 ;
   16 ;  LEVE ; S    ;      0.00 ;      0.00 ;
   16 ;  LEVE ; NE   ;      0.00 ;      0.00 ;
   16 ;  LEVE ; N    ;      0.00 ;      0.00 ;
   16 ;  LEVE ; FC   ;      0.00 ;      0.00 ;
   17 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   17 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   17 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   17 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   17 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   18 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   18 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   18 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   18 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   18 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   19 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   19 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   19 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   19 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   19 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   20 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   20 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   20 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
