***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos Contratos de importacao/exportacao de energia e  
 
-----;--------;-----;--------------;----;----;-----------;
 IPER;   Pat  ; Num ;    Nome      ;Tipo;Sist;  Econtr   ;
-----;--------;-----;--------------;----;----;-----------;
   1 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    327.86 ;
   1 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    327.86 ;
   1 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    687.91 ;
   1 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    687.91 ;
   1 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    687.91 ;
   1 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    687.91 ;
   1 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   1 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   1 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   1 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
