***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________

----------------------------------------------
Geracao e custos marginais por unidade termica                                  
----------------------------------------------
------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIT:      Numero de cadastro da usina termoeletrica                                                                                                                                                    
UNIDT:     Numero de cadastro da unidade termoeletrica                                                                                                                                                  
Nome Usit: Nome da usina termoeletrica                                                                                                                                                                  
NomeSist:  Nome do subsistema                                                                                                                                                                           
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
GTER:      Geracao Termoeletrica                                                                                                                                                                        
CustLin:   Custo linear de geracao da unidade termica                                                                                                                                                   
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
------------------------------------------------------

-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;  GTER   ; CustLin ;   CMO    ;    CMB     ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;  (MW)   ; ($/MWh) ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
   1 ; 001 ; 001  ; ANGRA 1      ; SE     ;    10  ;     0.00;    31.17;     0.00 ;       0.01 ;
   1 ; 108 ; 001  ; XAVANTES     ; SE     ;  2979  ;     0.00;  3681.58;     0.00 ;       0.01 ;
   1 ; 108 ; 002  ; XAVANTES     ; SE     ;  2979  ;     0.00;  3681.58;     0.00 ;       0.01 ;
   1 ; 110 ; 001  ; N.PIRATININ  ; SE     ;   404  ;     0.00;   964.45;     0.00 ;       0.01 ;
   1 ; 110 ; 002  ; N.PIRATININ  ; SE     ;   404  ;     0.00;   964.45;     0.00 ;       0.01 ;
   1 ; 110 ; 003  ; N.PIRATININ  ; SE     ;   404  ;     0.00;   964.45;     0.00 ;       0.01 ;
   1 ; 110 ; 004  ; N.PIRATININ  ; SE     ;   404  ;     0.00;   964.45;     0.00 ;       0.01 ;
