***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE não corresponde a recebimento do SE pois Itaipu(60hz) já se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
   1  ;   LEVE ; SE   ;       0.00 ;   43679.06 ;     -      ;       0.00 ;       0.00 ;    4440.76 ;   42817.46 ;    1635.00 ;       4.74 ;    7196.60 ;    6762.56 ;       0.00 ;    3222.96 ;   -3222.96 ;    1635.00 ;    9510.76 ;  132211.30 ;
   1  ;   LEVE ; S    ;       0.00 ;   12468.99 ;     -      ;       0.00 ;       0.00 ;    2884.35 ;    8258.67 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    -254.98 ;     254.98 ;    1071.00 ;    1486.57 ;   19772.98 ;
   1  ;   LEVE ; NE   ;       0.00 ;   14122.06 ;     -      ;       0.00 ;       0.00 ;   10457.27 ;    4501.48 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     836.69 ;    -836.69 ;       0.00 ;    6490.04 ;   27712.64 ;
   1  ;   LEVE ; N    ;       0.01 ;    7844.97 ;     -      ;       0.00 ;       0.00 ;     570.09 ;    2769.67 ;    1134.57 ;       0.00 ;       0.00 ;     434.04 ;       0.00 ;   -3804.67 ;    3804.67 ;    1133.23 ;    3297.00 ;    6329.67 ;
   1  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   2  ;   LEVE ; SE   ;       0.00 ;   42608.83 ;     -      ;       0.00 ;       0.00 ;    4384.59 ;   42151.76 ;    1635.00 ;       6.53 ;    7103.33 ;    6677.95 ;       0.00 ;    3560.87 ;   -3560.87 ;    1635.00 ;    9510.76 ;  132040.70 ;
   2  ;   LEVE ; S    ;       0.00 ;   12055.96 ;     -      ;       0.00 ;       0.00 ;    2821.90 ;    7972.01 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    -191.05 ;     191.05 ;    1071.00 ;    1486.57 ;   19730.53 ;
   2  ;   LEVE ; NE   ;       0.00 ;   13797.77 ;     -      ;       0.00 ;       0.00 ;    9972.42 ;    4690.86 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.52 ;    -865.52 ;       0.00 ;    6490.04 ;   27690.68 ;
   2  ;   LEVE ; N    ;       0.00 ;    7768.95 ;     -      ;       0.00 ;       0.00 ;     557.86 ;    2266.79 ;    1134.34 ;       0.00 ;       0.00 ;     425.38 ;       0.00 ;   -4235.34 ;    4235.34 ;    1133.23 ;    3297.00 ;    6320.26 ;
   2  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   3  ;   LEVE ; SE   ;       0.00 ;   41575.39 ;     -      ;       0.00 ;       0.00 ;    4322.91 ;   40338.11 ;    1635.00 ;       9.52 ;    6880.92 ;    6456.79 ;       0.00 ;    2714.73 ;   -2714.73 ;    1635.00 ;    9510.76 ;  131879.29 ;
   3  ;   LEVE ; S    ;       0.00 ;   11716.36 ;     -      ;       0.00 ;       0.00 ;    2743.54 ;    8693.53 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     791.71 ;    -791.71 ;    1071.00 ;    1486.57 ;   19710.23 ;
   3  ;   LEVE ; NE   ;       0.00 ;   13610.96 ;     -      ;       0.00 ;       0.00 ;    9486.99 ;    4834.90 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     710.93 ;    -710.93 ;       0.00 ;    6490.04 ;   27668.47 ;
   3  ;   LEVE ; N    ;       0.00 ;    7670.83 ;     -      ;       0.00 ;       0.00 ;     546.29 ;    2197.01 ;    1134.28 ;       0.00 ;       0.00 ;     424.12 ;       0.00 ;   -4217.37 ;    4217.37 ;    1133.23 ;    3297.00 ;    6310.90 ;
   3  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   4  ;   LEVE ; SE   ;       0.00 ;   40789.65 ;     -      ;       0.00 ;       0.00 ;    4278.11 ;   39556.91 ;    1635.00 ;      13.62 ;    6824.92 ;    6400.57 ;       0.00 ;    2670.59 ;   -2670.59 ;    1635.00 ;    9510.76 ;  131718.36 ;
   4  ;   LEVE ; S    ;       0.00 ;   11441.00 ;     -      ;       0.00 ;       0.00 ;    2663.24 ;    8622.48 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     915.72 ;    -915.72 ;    1071.00 ;    1486.57 ;   19689.50 ;
   4  ;   LEVE ; NE   ;       0.00 ;   13431.05 ;     -      ;       0.00 ;       0.00 ;    9112.59 ;    4904.50 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     586.05 ;    -586.05 ;       0.00 ;    6490.04 ;   27646.06 ;
   4  ;   LEVE ; N    ;       0.00 ;    7583.87 ;     -      ;       0.00 ;       0.00 ;     536.24 ;    2165.33 ;    1134.27 ;       0.00 ;       0.00 ;     424.35 ;       0.00 ;   -4172.37 ;    4172.37 ;    1133.23 ;    3297.00 ;    6301.57 ;
   4  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   5  ;   LEVE ; SE   ;       0.00 ;   40177.93 ;     -      ;       0.00 ;       0.00 ;    4236.19 ;   39024.61 ;    1635.00 ;      19.25 ;    6732.19 ;    6306.03 ;       0.00 ;    2704.30 ;   -2704.30 ;    1635.00 ;    9510.76 ;  131581.73 ;
   5  ;   LEVE ; S    ;       0.00 ;   11234.89 ;     -      ;       0.00 ;       0.00 ;    2563.07 ;    8455.05 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     854.23 ;    -854.23 ;    1071.00 ;    1486.57 ;   19671.17 ;
   5  ;   LEVE ; NE   ;       0.00 ;   13249.94 ;     -      ;       0.00 ;       0.00 ;    8811.05 ;    4923.37 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     484.49 ;    -484.49 ;       0.00 ;    6490.04 ;   27623.53 ;
   5  ;   LEVE ; N    ;       0.00 ;    7513.91 ;     -      ;       0.00 ;       0.00 ;     525.48 ;    2237.33 ;    1134.25 ;       0.00 ;       0.00 ;     426.17 ;       0.00 ;   -4043.02 ;    4043.02 ;    1133.23 ;    3297.00 ;    6292.34 ;
   5  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   6  ;   LEVE ; SE   ;       0.00 ;   39777.89 ;     -      ;       0.00 ;       0.00 ;    4217.95 ;   38446.18 ;    1635.00 ;      22.24 ;    6738.74 ;    6310.35 ;       0.00 ;    2506.90 ;   -2506.90 ;    1635.00 ;    9510.76 ;  131448.42 ;
   6  ;   LEVE ; S    ;       0.00 ;   11082.20 ;     -      ;       0.00 ;       0.00 ;    2514.35 ;    8459.64 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     962.79 ;    -962.79 ;    1071.00 ;    1486.57 ;   19652.81 ;
   6  ;   LEVE ; NE   ;       0.00 ;   13101.73 ;     -      ;       0.00 ;       0.00 ;    8650.83 ;    4968.03 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     517.13 ;    -517.13 ;       0.00 ;    6490.04 ;   27600.83 ;
   6  ;   LEVE ; N    ;       0.00 ;    7420.91 ;     -      ;       0.00 ;       0.00 ;     517.49 ;    2210.76 ;    1134.23 ;       0.00 ;       0.00 ;     428.40 ;       0.00 ;   -3986.83 ;    3986.83 ;    1133.23 ;    3297.00 ;    6283.15 ;
   6  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   7  ;   LEVE ; SE   ;       0.00 ;   39513.07 ;     -      ;       0.00 ;       0.00 ;    4171.94 ;   37104.24 ;    1635.00 ;      32.77 ;    6603.99 ;    6160.74 ;       0.00 ;    1388.09 ;   -1388.09 ;    1635.00 ;    9510.76 ;  131328.09 ;
   7  ;   LEVE ; S    ;       0.00 ;   10990.27 ;     -      ;       0.00 ;       0.00 ;    2437.48 ;    7668.78 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     187.00 ;    -187.00 ;    1071.00 ;    1486.57 ;   19638.43 ;
   7  ;   LEVE ; NE   ;       0.00 ;   13016.88 ;     -      ;       0.00 ;       0.00 ;    8309.62 ;    7100.20 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2392.93 ;   -2392.93 ;       0.00 ;    6490.04 ;   27578.97 ;
   7  ;   LEVE ; N    ;       0.00 ;    7344.00 ;     -      ;       0.00 ;       0.00 ;     510.78 ;    2174.23 ;    1134.22 ;       0.00 ;       0.00 ;     443.24 ;       0.00 ;   -3968.02 ;    3968.02 ;    1133.23 ;    3297.00 ;    6274.45 ;
   7  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   8  ;   LEVE ; SE   ;       0.00 ;   39239.84 ;     -      ;       0.00 ;       0.00 ;    4159.97 ;   36752.43 ;    1635.00 ;      37.33 ;    6593.65 ;    6149.79 ;       0.00 ;    1293.59 ;   -1293.59 ;    1635.00 ;    9510.76 ;  131208.04 ;
   8  ;   LEVE ; S    ;       0.00 ;   10947.95 ;     -      ;       0.00 ;       0.00 ;    2433.74 ;    7599.00 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     155.80 ;    -155.80 ;    1071.00 ;    1486.57 ;   19622.85 ;
   8  ;   LEVE ; NE   ;       0.00 ;   12919.89 ;     -      ;       0.00 ;       0.00 ;    8222.05 ;    7167.33 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2469.49 ;   -2469.49 ;       0.00 ;    6490.04 ;   27556.95 ;
   8  ;   LEVE ; N    ;       0.00 ;    7278.04 ;     -      ;       0.00 ;       0.00 ;     509.17 ;    2159.65 ;    1134.20 ;       0.00 ;       0.00 ;     443.86 ;       0.00 ;   -3918.88 ;    3918.88 ;    1133.23 ;    3297.00 ;    6265.79 ;
   8  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   9  ;   LEVE ; SE   ;       0.00 ;   39246.88 ;     -      ;       0.00 ;       0.00 ;    4142.96 ;   36671.94 ;    1635.00 ;      42.63 ;    6540.20 ;    6095.11 ;       0.00 ;    1184.98 ;   -1184.98 ;    1635.00 ;    9510.76 ;  131103.64 ;
   9  ;   LEVE ; S    ;       0.00 ;   10991.15 ;     -      ;       0.00 ;       0.00 ;    2443.02 ;    7679.44 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     202.31 ;    -202.31 ;    1071.00 ;    1486.57 ;   19606.09 ;
   9  ;   LEVE ; NE   ;       0.00 ;   12847.99 ;     -      ;       0.00 ;       0.00 ;    8169.21 ;    7185.73 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2506.96 ;   -2506.96 ;       0.00 ;    6490.04 ;   27534.97 ;
   9  ;   LEVE ; N    ;       0.00 ;    7209.09 ;     -      ;       0.00 ;       0.00 ;     512.46 ;    2113.30 ;    1134.17 ;       0.00 ;       0.00 ;     445.09 ;       0.00 ;   -3894.25 ;    3894.25 ;    1133.23 ;    3297.00 ;    6257.22 ;
   9  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  10  ;   LEVE ; SE   ;       0.00 ;   39333.67 ;     -      ;       0.00 ;       0.00 ;    4129.15 ;   36469.10 ;    1635.00 ;      44.26 ;    6549.25 ;    6094.57 ;       0.00 ;     889.51 ;    -889.51 ;    1635.00 ;    9510.76 ;  130999.07 ;
  10  ;   LEVE ; S    ;       0.00 ;   11085.99 ;     -      ;       0.00 ;       0.00 ;    2443.80 ;    7777.94 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     206.74 ;    -206.74 ;    1071.00 ;    1486.57 ;   19588.32 ;
  10  ;   LEVE ; NE   ;       0.00 ;   12651.96 ;     -      ;       0.00 ;       0.00 ;    8095.24 ;    7303.62 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2746.90 ;   -2746.90 ;       0.00 ;    6490.04 ;   27512.64 ;
  10  ;   LEVE ; N    ;       0.00 ;    7145.01 ;     -      ;       0.00 ;       0.00 ;     518.00 ;    2104.36 ;    1134.17 ;       0.00 ;       0.00 ;     454.68 ;       0.00 ;   -3843.16 ;    3843.16 ;    1133.23 ;    3297.00 ;    6248.70 ;
  10  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  11  ;   LEVE ; SE   ;       0.00 ;   39497.59 ;     -      ;       0.00 ;       0.00 ;    4129.00 ;   36197.89 ;    1635.00 ;      48.83 ;    6493.24 ;    6043.20 ;       0.00 ;     445.02 ;    -445.02 ;    1635.00 ;    9510.76 ;  130894.87 ;
  11  ;   LEVE ; S    ;       0.00 ;   11310.14 ;     -      ;       0.00 ;       0.00 ;    2441.33 ;    7942.16 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     144.35 ;    -144.35 ;    1071.00 ;    1486.57 ;   19569.63 ;
