***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


======================================================
* RELATORIO FINAL DE OPERACAO NO DIA  1 : 29/11/2023 *
======================================================

1 - BALANCO HIDRICO DIARIO POR USINA (hm3):

 IND     NOME        VOL.INICIAL        VOL.      VOL.     VOL.   VOL.   VOL.   VOL.  VOL.             VOL.FINAL
                     (%)                AFLU      TURB     VERT   DESV   DESC   EVAP  VALT    VBOMB    (%)
---------------------------------------------------------------------------------------------------------------
   1 CAMARGOS       39.56   265.84      5.79    15.55    67.75     -       -         0.01     0.02      -    28.02   188.31
   2 ITUTINGA         -        -       83.30    18.43    64.87     -       -         0.00     0.00      -      -        -  
   4 FUNIL-GRANDE     -        -       54.39    23.58    30.74     -       -         0.01     0.05      -      -        -  
   6 FURNAS         74.51 12828.39     49.11   127.00     3.35     -       -         0.50     0.26      -    74.03 12746.39
   7 M. DE MORAES   76.06  1901.50    121.29    97.99   275.96     -       -         0.04     0.05      -    65.95  1648.74
   8 ESTREITO       51.26    91.32    351.64   133.04   235.26     -       -         0.00     0.01      -    41.90    74.64
   9 JAGUARA        71.67    64.50    346.27    87.70   276.41     -       -         0.01     0.00      -    51.84    46.65
  10 IGARAPAVA        -        -      307.68    98.08   209.58     -       -         0.01     0.01      -      -        -  
  11 VOLTA GRANDE   37.73   101.12    288.74   100.36   279.79     -       -         0.03     0.02      -     3.60     9.66
  12 P. COLOMBIA    48.23   112.62    319.17   115.81   287.49     -       -         0.03     0.12      -    12.14    28.34
  14 CACONDE        39.90   201.10      5.27     7.27     0.00     -       -         0.01     0.03      -    39.50   199.05
  15 E. DA CUNHA      -        -        8.74     8.37     0.35     -       -         0.00     0.03      -      -        -  
  16 A.S.OLIVEIRA     -        -        8.08     7.59     0.49     -       -         0.00     0.00      -      -        -  
  17 MARIMBONDO     52.83  2778.86    359.53   211.44   262.01     -       -         0.05     0.54      -    50.65  2664.35
  18 A. VERMELHA    57.58  2976.31    390.64   247.31  1205.51     -       -         0.05     0.22      -    37.03  1913.85
  20 BATALHA        23.57   318.56      1.04    11.62    94.55     -       -         0.01     0.01      -    15.79   213.42
  21 SERRA FACAO    34.06  1174.05     73.63    26.00    16.16     -       -         0.07     0.01      -    34.97  1205.43
  24 EMBORCACAO     71.44  9327.21     33.02    84.79     2.55     -       -         0.06     0.09      -    71.02  9272.74
  25 NOVA PONTE     66.86  6940.07     15.47    46.59     2.66     -       -         0.15     0.06      -    66.53  6906.08
  26 MIRANDA        62.34    91.02     46.67    58.48     4.14     -       -         0.01     0.01      -    51.40    75.05
  27 CAPIM BRANC1   42.38     5.45     54.41    38.97    12.87     -       -         0.01     0.00      -    62.31     8.01
  28 CAPIM BRANC2   36.87     0.37     50.42    30.33    19.80     -       -         0.01     0.00      -    64.39     0.64
  29 CORUMBA IV     42.26   325.99      7.08    19.26    18.87     -       -         0.06     0.05      -    38.22   294.84
  30 CORUMBA I      36.85   379.56     37.17    41.77     2.26     -       -         0.01     0.06      -    36.18   372.62
  31 ITUMBIARA      68.99  8592.01    169.85   219.21     5.43     -       -         0.11     0.16      -    68.55  8536.96
  32 CACH.DOURADA     -        -      211.23   199.19    11.99     -       -         0.03     0.03      -      -        -  
  33 SAO SIMAO      47.42  2627.07    264.10   184.71     4.35     -       -         0.07     0.49      -    48.76  2701.55
  34 I. SOLTEIRA    57.44  3157.48   1390.14   783.63    66.84     0.00    -         0.19     0.16      -    67.25  3696.79
  37 BARRA BONITA   66.96  1718.19     37.41    41.57    66.41     -       -         0.01     4.16      -    64.05  1643.46
  38 A.S. LIMA      58.70    34.58     76.43    56.28    53.08     -       -         0.00     0.12      -     2.58     1.52
  39 IBITINGA       64.20    36.11    103.25    58.67    73.61     -       -         0.01     0.15      -    12.31     6.92
  40 PROMISSAO      58.13  1237.01    122.86    73.12    45.90     -       -         0.07     0.08      -    58.30  1240.70
