***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ;  1 ;ANGRA 1      ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     640.00 ;  D  ;     31.17 ;
  1 ;  LEVE ;  1 ;ANGRA 1      ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     640.00 ;  -  ;           ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     436.00 ;  -  ;           ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     245.00 ;  D  ;      0.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     245.00 ;  D  ;      0.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     490.00 ;  D  ;      0.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     980.00 ;  -  ;           ;
  1 ;  LEVE ; 13 ;ANGRA 2      ;  1 ; SE ;   1350.00 ;      0.00 ;   1350.00 ;    1350.00 ;  L  ;     20.12 ;
  1 ;  LEVE ; 13 ;ANGRA 2      ; 99 ; SE ;   1350.00 ;   1350.00 ;   1350.00 ;    1350.00 ;  -  ;           ;
  1 ;  LEVE ; 15 ;LINHARES     ;  1 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  2 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  3 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  4 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
  1 ;  LEVE ; 15 ;LINHARES     ; 99 ; SE ;      0.00 ;      0.00 ;    204.00 ;     204.00 ;  -  ;           ;
  1 ;  LEVE ; 21 ;MARANHAO V   ;  1 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    189.96 ;
  1 ;  LEVE ; 21 ;MARANHAO V   ; 99 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
  1 ;  LEVE ; 24 ;J.LACERDA C  ;  7 ; S  ;    300.00 ;      0.00 ;    330.00 ;     330.00 ;  L  ;    311.53 ;
  1 ;  LEVE ; 24 ;J.LACERDA C  ; 99 ; S  ;    300.00 ;    300.00 ;    330.00 ;     330.00 ;  -  ;           ;
  1 ;  LEVE ; 25 ;J.LACERDA B  ;  5 ; S  ;    110.00 ;      0.00 ;    110.00 ;     110.00 ;  L  ;    362.67 ;
  1 ;  LEVE ; 25 ;J.LACERDA B  ;  6 ; S  ;      0.00 ;      0.00 ;      0.00 ;     110.00 ;  D  ;    362.67 ;
